TESTO DELLA DOMANDA,RISPOSTA 1,RISPOSTA 2,RISPOSTA 3,RISPOSTA 4,RISPOSTA 5,RISPOSTA 6,PROGRESSIVO DOMANDA,TIPOLOGIA,SETTORE,ARGOMENTO
"Il giorno 5 Gennaio 2021 siamo in navigazione al largo del Promontorio Argentario con prora bussola Pb = 337° (deviazione 1° E) e Vp = 12 nodi. Il valore della declinazione magnetica anno 2018:
d = 1 °45' W variazione annua 5' W.
Alle ore 10h00m  si rileva Capo d'Uomo (Argentario) per rilevamento bussola Rilb = 036°
alle ore 10h20m si rileva lo Scoglio Argentarola per rilevamento bussola Rilb = 081°.
Determinare le coordinate del punto nave delle ore 10h20m.","Lat. 42° 24',3 N ÷
42°24',9N     Long.
011°00',7 E ÷
011°01',3E",,,,,,5.4.3 - 3,C,D,navigazione costiera
"Partenza da faro Talamone con una rotta vera Pv = 235° e una velocità propulsia Vp = 6 kn.
Si vuole determinare il punto nave costiero A eseguendo alle ore 20h00m un rilevamento di Punta Lividonia rilevamento vero Rilv = 120° e alle ore 20h50m un rilevamento vero Rlv = 200° di Punta del Fenaio.
Determinare le coordinate del punto nave delle ore 20h50m.","Lat. 42°26',1 N ÷ 42°26',7 N   Long.
010°54',2 E ÷ 010°54',8
E",,,,,,5.4.3 - 4,C,D,navigazione costiera
"Siamo in navigazione a Ovest di Formica Grande con una prora bussola Pb = 230° (variazione magnetica V = 5° W) e una velocità propulsiva Vp 6 = kn.
Si vuole determinare il punto nave costiero A eseguendo alle ore 16h00m con il faro di Formica Grande un rilevamento bussola Rilb = 105° e alle ore 16h23m sempre con lo stesso faro un rilevamento bussola Rilb =  070°.
Determinare le coordinate del punto nave delle ore 16h23m.","Lat.42° 32',9 N ÷ 42°33',5 N   Long.
010°48',5 E ÷ 010°49',1
E",,,,,,5.4.3 - 5,C,D,navigazione costiera
"Alle ore 14h50m  imbarcazione “Rigel”, avente un pescaggio di m. 2, in navigazione a W dell'Isola del Giglio, determina la propria posizione
osservando il Faro di Punta del Fenaio (Lam.(3)15s39m16M) per rilevamento vero Rilv = 095° ad una distanza di 2,5 miglia nautiche (punto A).
Da tale punto procede seguendo una rotta vera Rv = 340° con una velocità effettiva Ve = 9 kn.
Alle ore 15h50m riceve una richiesta di assistenza dall'imbarcazione “Dubhe”
per avaria.
Tale imbarcazione comunica la propria posizione individuata dalle seguenti coordinate geografiche GPS:
Lat. 42° 32',5 N - Long. 010° 57',5 E (punto B).
L'imbarcazione “Dubhe” sta navigando seguendo una rotta vera Rv = 052° ad
una velocità effettiva Ve = 1,6 kn.
L'imbarcazione “Rigel” decide , quindi, di raggiungere l'unità in difficoltà per
prestare assistenza senza variare la velocità.
Determinare le coordinate geografiche del punto D di intercettazione.","Lat. 42° 33',5 N ÷
42°34',1 N - Long. 010°
59',4 E ÷ 011° 00' E",,,,,,5.4.3 - 6,C,D,navigazione costiera
"Nel 2009 l'imbarcazione “Daphne” è in navigazione a E dell'Isola del Giglio,
seguendo una rotta vera Rv = 041° con una velocità effettiva Ve = 4 kn.
Alle ore 09h30m si trova sul punto A di coordinate geografiche GPS:Lat. 42°
23',0 N e Long. 010° 58',0 E.
Alla stessa ora l'imbarcazione “Sophia” chiede assistenza per avaria del
propulsore.
Tale unità naviga seguendo una rotta vera Rv = 221° con una velocità effettiva Ve = 1,5 kn e la sua posizione GPS (punto B) risulta essere: Lat. 42° 31',5 N e Long. 011° 08',0 E.
Considerando che in zona non sono presenti elementi perturbatori del moto determinare le coordinate geografiche del punto C di intercettazione.","Lat. 42° 28',8 N÷42°
29',4 N - Long. 011°
04',9 E ÷ 011°05',5 E",,,,,,5.4.3 - 7,C,D,navigazione costiera
"L'imbarcazione “Mistral” in uscita dal porto dell'Isola del Giglio, si trova alle ore 12h20m tra i fanali delle ostruzioni (punto A) e procede con una velocità propulsiva Vp1 = 5 kn verso il Faro di Talamone (Lam.(2)10s30m15M).
Alle ore 14h20m riceve una richiesta di assistenza dall'imbarcazione “Ghibli”
per avaria.
Tale imbarcazione, che sta navigando seguendo una rotta vera Rv = 105° ad una velocità effettiva Ve = 2,5 kn, comunica la propria posizione individuata dalle seguenti coordinate geografiche GPS:Lat. 42° 36',0 N - Long. 010° 53',0 E (punto B).
Alle ore 14h20m , quindi, l'imbarcazione “Mistral” osserva il Faro di P.ta Lividonia (Lam.5s47m16M) per rilevamento vero Rilv = 146° ad una distanza dalla costa di 3,1miglia nautiche (punto A').
L'imbarcazione “Mistral” decide, quindi, di raggiungere l'unità in difficoltà per prestare assistenza all'imbarcazione “Ghibli” aumentando la velocità propria a 7 kn (Vp2).
Determinare le coordinate geografiche del punto D di intercettazione.","Lat. 42° 35',0 N ÷ 42°
35',6 N - Long. 010°
56',4 E ÷ 010° 57',0 E",,,,,,5.4.3 - 8,C,D,navigazione costiera
"Stiamo navigando con rotta vera Rv = 313° e alle ore 09h00m ci troviamo sul punto A, sul rilevamento polare sinistro ρ = -090°e una distanza di 1,8 miglia nautiche dal faro di Punta del Fenaio (Isola del Giglio).
Considerando che in zona soffia un vento di Tramontana che crea uno scarroccio di 8°, indicare le coordinate geografiche del punto nave A.","Lat. 42°24',1 N ÷ 42°24',7 N   Long.
010°54',5 E  ÷ 010°55',1
E",,,,,,5.4.4 - 1,C,D,scarroccio
"Stiamo navigando a sud delle Formiche di Grosseto con rotta vera Rv = 045°. Alle ore 09h00m rileviamo al traverso sinistro ad una distanza di 2 miglia il faro di Formica Grande.
Considerando che nella zona soffia un vento di Tramontana che crea uno scarroccio di 5°, indicare le coordinate del punto nave.","Lat. 42°33',0  N ÷ 42°33',6 N    Long.
010°54',7 E  ÷ 010°55',3
E",,,,,,5.4.4 - 2,C,D,scarroccio
"Ci troviamo alle ore 15h30m sul punto A di coordinate geografiche GPS Lat 42°21',1 N e Long. 011° 13',5 E e vogliamo raggiungere il porto dell'isola del Giglio (fanali di ingresso in porto).
In zona insiste un vento di Libeccio che provoca uno scarroccio a dritta di 7° e
una variazione di velocità di – 1 kn.
Determinare la velocità propria Vp da impostare per raggiungere il porto turistico alle ore 17h45m.","Vp = 6,5 ÷7,5 kn",,,,,,5.4.4 - 3,C,D,scarroccio
"Dal punto nave A situato 1,5 miglia nautiche sul rilevamento Ovest Sud Ovest del faro di Punta del Fenaio (zona nord isola del Giglio), in presenza di un vento di Maestrale che provoca uno scarroccio di +8°  si intende impostare rotta vera Rv = 060°.
Determinare le coordinate del punto B nel quale si rileva Punta Lividonia (zona
Nord promontorio Argentario) per rilevamento polare a dritta ρ = +45°.","Lat. 42° 26',9 N ÷
42°27',5 N   Long. 010°
59',9 E ÷ 011°00',5 E",,,,,,5.4.4 - 4,C,D,scarroccio
"Dal punto nave A situato a una distanza di 1,5 miglia nautiche sul rilevamento vero Nord Ovest del Faro Formica Grande,  si intende procedere con rotta vera Rv = 095°, tenendo conto che siamo in presenza di un vento di Grecale che crea uno scarroccio di 5°.
Determinare le coordinate del punto nave B in cui si rileva al traverso il Faro di Talamone.","Lat. 42° 32',3 N ÷
42°32',9 N   Long. 011°
07',8 E ÷ 011°08',4 E",,,,,,5.4.4 - 5,C,D,scarroccio
