ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
847,,Attraverso quale scala viene misurata la forza del vento?,la scala Douglas.,F,la scala Beaufort.,V,la scala di Coriolis.,F,1.6.1-1,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
848,,Quale tra queste affermazioni è corretta?,la brezza diurna e quella notturna hanno la medesima intensità.,F,la brezza di notte è più intensa di quella diurna.,F,la brezza che spira durante le ore diurne è più intensa rispetto a quella notturna.,V,1.6.1-2,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
849,,Cosa si intende per escursione diurna di temperatura?,la differenza che intercorre tra il valore di temperatura misurato alle ore 00:00 locali e quello misurato alle ore 12:00 locali.,F,la differenza che intercorre tra il valore massimo di temperatura e quello minimo nel corso della giornata.,V,la differenza che intercorre tra il valore di temperatura rilevato all'alba e quello rilevato al tramonto.,F,1.6.1-3,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
850,,Quali fenomeni sono generati dal vapore acqueo?,genera neve e grandine.,F,"genera l'effetto serra, mentre sulla superficie terrestre si forma l'effetto albedo.",F,"a seguito della sua condensazione, nell'aria si generano nubi e nebbie mentre sulla superficie terrestre si formano rugiada e brina.",V,1.6.1-4,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
851,,Qual è l'unità di misura internazionale per indicare il valore della pressione atmosferica?,Hectopascal (hPa).,V,Newton (N).,F,Millimetri Torricelli (mmT).,F,1.6.1-5,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
852,,Cosa si intende per isobare?,Linee di uguale pressione.,V,Linee di uguale temperatura.,F,linee di uguale differenza di pressione.,F,1.6.1-6,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
853,,Cosa si intende per nebbia?,qualsiasi forma di condensazione del vapore acqueo negli strati atmosferici a immediato contatto con il suolo o gli specchi acquei.,V,qualsiasi forma di condensazione del vapore acqueo negli strati atmosferici superiori.,F,è un sinonimo di foschia.,F,1.6.1-7,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
854,,Come si definisce il vento?,il movimento obliquo dell'aria i cui caratteri distintivi sono l'accelerazione e la turbolenza.,F,il movimento verticale dell'aria i cui caratteri distintivi sono la frequenza e la provenienza.,F,lo spostamento pressocchè orizzontale di una massa d'aria i cui caratteri distintivi sono la direzione e la velocità.,V,1.6.1-8,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
855,,Quali sono i principali movimenti a cui è soggetto il mare?,"correnti, onde e maree.",V,"orizzontali, laterali e sussultori.",F,"oceanografici, torrenziali e convergenti.",F,1.6.1-9,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
856,,Come si definiscono le maree?,movimenti oscillanti delle masse d'acqua generati dalla rotazione terrestre.,F,movimento orizzontale del mare generato dal magnetismo terrestre.,F,l'oscillazione del livello del mare generata dalla forza di attrazione gravitazionale esercitata principalmente dal sole e dalla luna.,V,1.6.1-10,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
857,,Come si definisce il fenomeno atmosferico generato dalla sovrapposizione di un fronte freddo e di un fronte caldo?,fronte occluso.,V,fronte tropicale.,F,fronte equatoriale.,F,1.6.1-11,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
858,,Quale elemento risulta fondamentale al fine di prevedere l'evoluzione delle condizioni meteorologiche durante la navigazione?,la conoscenza della tendenza della pressione atmosferica nel tempo.,V,la conoscenza della variazione di temperatura atmosferica nel tempo.,F,la conoscenza della variazione dell'umidità atmosferica nel tempo.,F,1.6.1-12,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
859,,"Quali sono le principali caratteristiche delle nubi denominate ""cirri""?","colore roseo, struttura lattiginosa, sono raggruppate a banchi.",F,"colore grigio o bluastro, forma imponente.",F,"colore bianco, struttura fibrosa, isolate.",V,1.6.1-13,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
860,,"Quali sono i principali effetti meteorologici generati dalle nubi tipo ""cumulonembo""?","neve, nebbia e foschia.",F,"rovesci, temporali o grandine.",V,"tuoni, trombe d'aria e arcobaleno.",F,1.6.1-14,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
861,,Un fronte meteorologico è:,"la superficie di contatto, e pertanto di discontinuità, tra due masse d'aria aventi caratteristiche di temperatura, pressione e umidità differenti.",V,l'intersezione tra una massa d'aria e la superficie terrestre.,F,la massa di nubi di altezza media tra 2000 e 6000 m.,F,1.6.1-15,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
862,,Quando si ha un fronte caldo?,"quando una massa d'aria calda (quindi anche più umida) si avvicina a una relativamente più fredda (e meno umida), scorrendovi sopra.",V,"quando una massa d'aria fredda (quindi meno umida ma più densa) si avvicina e si incunea sotto a una massa relativamente più calda (più umida e più leggera), facendola salire.",F,quando una massa d'aria si interseca con la superficie terrestre.,F,1.6.1-16,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
863,,Quando un fronte si definisce freddo?,"quando una massa d'aria fredda (quindi meno umida ma più densa) si avvicina e si incunea sotto a una massa relativamente più calda (più umida e più leggera), facendola salire e determinando un raffreddamento della regione in cui transita.",V,"quando una massa d'aria più calda (quindi anche più umida) si avvicina a una relativamente più fredda (e meno umida), scorrendovi sopra.",F,quando una massa d'aria si interseca con la superficie terrestre.,F,1.6.1-17,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
864,,Come può definirsi un fronte stazionario?,"un fronte che non presenta alcun movimento, ossia nessuna delle masse d'aria interessate invade sensibilmente la zona occupata dall'altra.",V,la sovrapposizione di un fronte caldo e un fronte freddo.,F,"un fronte che presenta un movimento verticale, tale da generare nubi denominate cirri.",F,1.6.1-18,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
865,,Nel nostro emisfero:,il vento al suolo spira in senso orario intorno a una bassa pressione (o ciclone).,F,il vento al suolo spira in senso antiorario intorno a una bassa pressione (o ciclone).,V,il vento al suolo spira in senso antiorario intorno a un'alta pressione (a un anticiclone).,F,1.6.1-19,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
866,,Cosa si intende per gradiente barico orizzontale?,la differenza di temperatura esistente tra due masse d'aria confinanti tra loro.,F,la differenza di pressione esistente tra due masse d'aria confinanti tra loro.,V,la differenza di umidità esistente tra due masse d'aria confinanti tra loro.,F,1.6.1-20,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
867,,Gli alisei sono:,venti periodici che spirano ad una velocità compresa tra i 40 e i 50 nodi e la cui intensità risulta maggiore nei mesi caldi e umidi.,F,venti permanenti che spirano ad una velocità compresa tra i 13 e i 18 nodi e la cui intensità risulta maggiore nei mesi freddi.,V,venti periodici che spirano ad una velocità compresa tra i 30 e i 40 nodi e la cui intensità risulta maggiore nei mesi caldi e umidi.,F,1.6.1-21,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
868,,Cosa si intende per altezza della marea?,il valore dell'altezza delle onde di marea rispetto allo zero idrografico (in inglese chart datum).,F,il valore dell'altezza media delle più alte onde di marea rispetto allo zero idrografico (in inglese chart datum).,F,il valore dell'altezza dell'alta marea o della bassa marea rispetto allo zero idrografico (in inglese chart datum ).,V,1.6.1-22,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
869,,Qual è l'Ente nazionale preposto a produrre le informazioni destinate all'assistenza meteorologica delle unità navali in navigazione nel Mar Mediterraneo?,il Centro Nazionale di Meteorologia e Climatologia Aeronautica.,V,il Centro Nazionale delle Stazioni radio costiere.,F,la Centrale Operativa della Guardia Costiera.,F,1.6.2-1,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
870,,"Cosa sono gli ""avvisi"" meteorologici sono messaggi che contengono:",utili informazioni  afferenti fenomeni di improvvisi innalzamenti di maree sigiziali.,F,utili informazioni afferenti fenomeni di improvvisi cambi di direzione delle correnti marine.,F,utili informazioni afferenti fenomeni meteorologici pericolosi per la navigazione marittima.,V,1.6.2-2,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
871,,"Nell'ambito delle previsioni locali, quali segni premonitori possono indicare il perdurare del bel tempo?",repentino aumento della pressione atmosferica e presenza di cumulonembi all'orizzonte.,F,la pressione rimane costante o sale lentamente ed il sole si presenta di colore rosso nelle ore serali in condizioni di cielo chiaro.,V,repentino aumento della temperatura e basso tenore di umidità nell'atmosfera.,F,1.6.2-3,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
872,,"Nell'ambito delle previsioni locali, quali segni premonitori possono indicare il possibile peggioramento del tempo?","addensamento dei cirri in cirrostrati, repentina riduzione della pressione e presenza di vento sostenuto già dalle prime ore del mattino.",V,movimento delle nubi da Sud verso Nord e incremento repentino dell'umidità al tramonto.,F,rotazione del vento da Sud verso Est e riduzione del livello del mare indipendentemente dalla marea.,F,1.6.2-4,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
873,,"Nell'ambito delle previsioni locali, quali segni premonitori possono indicare il possibile miglioramento del tempo?",abbassamento delle nubi e brusco calo della pressione atmosferica.,F,"innalzamento delle basi delle nubi, rotazione in senso orario del vento da Est verso Sud e poi Ovest e rapido innalzamento della pressione.",V,repentino annuvolamento del cielo e movimento delle nubi a differenti altezze e in diverse direzioni.,F,1.6.2-5,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
874,,"Nell'ambito delle previsioni locali, quali segni premonitori possono indicare il possibile verificarsi di precipitazioni piovose?","i venti da Sud calano di intensità, il barometro sale costantemente e il livello del mare tende a salire.",F,"il barometro sale costantemente, con brusco calo della temperatura.",F,"le nubi si addensano, i cirri assumono di una colorazione rossastra con calo repentino della pressione e rinforzo dei venti provenienti da Sud.",V,1.6.2-6,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
875,,Quali sono tra questi gli elementi che preannunciano l'approssimarsi di tempo cattivo durante la navigazione?,brusca caduta della pressione atmosferica e presenza di nuvole ad alto sviluppo verticale.,V,presenza di mare lungo e nuvole stratificate.,F,diminuzione della temperatura di rugiada e presenza di mare lungo.,F,1.6.2-7,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
876,,"Nell'ambito delle previsioni locali, quali segni premonitori possono indicare la possibile formazione di nebbia?","movimento di un flusso di aria fredda e secca da una regione oceanica più calda ad una più fredda, presenza di acqua molto più calda rispetto all'aria sovrastante e presenza di vento teso.",F,"movimento di un flusso di aria calda e umida da una regione oceanica più calda a una più fredda, presenza di acqua molto più fredda rispetto all'aria sovrastante e presenza di vento debole.",V,"oscuramento del cielo durante le ore serali, presenza di aria secca e vento regolare.",F,1.6.2-8,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
877,,Come possono suddividersi le carte meteorologiche?,carte al suolo e carte in quota.,V,carte generali e carte particolari.,F,carte gnomoniche e carte equatoriali.,F,1.6.2-9,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
878,Figura 88,Che tipo di fronte è rappresentato in figura?,fronte caldo.,F,fronte freddo.,V,fronte occluso.,F,1.6.2-10,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
879,Figura 89,Che tipo di fronte è rappresentato in figura?,fronte freddo.,F,fronte occluso.,F,fronte caldo.,V,1.6.2-11,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
880,Figura 90,Che tipo di fronte è rappresentato in figura?,fronte freddo.,F,fronte stazionario.,V,fronte caldo.,F,1.6.2-12,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
881,Figura 91,Che tipo di fronte è rappresentato in figura?,fronte occluso,V,fronte stazionario.,F,fronte caldo.,F,1.6.2-13,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
882,,Quali sono i venti del I quadrante?,"Mezzogiorno, Libeccio e Ponente.",F,"Ponente, Maestrale e Tramontana.",F,"Tramontana, Grecale e Levante.",V,1.6.3-1,BASE,METEOROLOGIA,Venti
883,,Quali sono i venti del II quadrante?,"Levante, Scirocco e Mezzogiorno.",V,"Mezzogiorno, Libeccio e Ponente.",F,"Ponente, Maestrale e Tramontana.",F,1.6.3-2,BASE,METEOROLOGIA,Venti
884,,Quali sono i venti del III quadrante?,"Tramontana, Grecale e Levante.",F,"Ponente, Maestrale e Tramontana.",F,"Mezzogiorno, Libeccio e Ponente.",V,1.6.3-3,BASE,METEOROLOGIA,Venti
885,,Quali sono i venti del IV quadrante?,"Ponente, Maestrale e Tramontana.",V,"Tramontana, Grecale e Levante.",F,"Levante, Scirocco e Mezzogiorno.",F,1.6.3-4,BASE,METEOROLOGIA,Venti
886,,La rosa dei venti rappresenta:,"nome, forza e direzione dei venti.",F,"l'orizzonte visibile, con il nome e la direzione di provenienza dei venti tipici del Mediterraneo.",V,la destinazione dei venti principali.,F,1.6.3-5,BASE,METEOROLOGIA,Venti
887,,"Gli ""Avvisi di Burrasca"" sono diffusi via radio:","preceduti dal segnale di sicurezza ""SECURITÈ"".",V,"preceduti dal segnale di sicurezza ""MAYDAY"".",F,"preceduti dal segnale di sicurezza ""PANPAN"".",F,1.6.2-14,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
888,,"Gli ""Avvisi di Tempesta"" o ""di Burrasca"":",coprono un'area estesa quanto il mar Mediterraneo.,F,segnalano che una tempesta o burrasca si svilupperà non prima di 12 ore.,F,segnalano tempesta o burrasca in corso o imminente.,V,1.6.2-15,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
889,,Il Ponente spira dalla direzione cardinale:,Est.,F,Nord.,F,Ovest.,V,1.6.3-6,BASE,METEOROLOGIA,Venti
890,,L'anemometro misura:,La velocità del vento.,V,La velocità della corrente.,F,La velocità dell'imbarcazione.,F,1.6.1-23,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
891,,Da quale direzione proviene il vento di Scirocco?,Sud-Est.,V,Sud-Ovest.,F,Nord-Ovest.,F,1.6.3-7,BASE,METEOROLOGIA,Venti
892,,Quali tra le seguenti informazioni sono riportate nel Meteomar:,"sorgere e tramonto del sole, per valutare la formazione delle nebbie.",F,avvisi urgenti ai naviganti (Avurnav).,F,"avvisi (es. di temporali o di burrasca), in corso o previsti.",V,1.6.2-16,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
893,,Da quale direzione proviene il vento di Grecale?,Nord-Est.,V,Sud-Est.,F,Sud-Ovest.,F,1.6.3-8,BASE,METEOROLOGIA,Venti
894,,Quale vento spira da 135 gradi?,Grecale.,F,Levante.,F,Scirocco.,V,1.6.3-9,BASE,METEOROLOGIA,Venti
895,,Da Nord - Est spira il:,Levante,F,Ponente.,F,Grecale.,V,1.6.3-10,BASE,METEOROLOGIA,Venti
896,,Come viene diffuso il bollettino Meteomar?,"sul canale VHF 78, di continuo.",F,"sul canale VHF 16, alle ore sinottiche principali (UTC).",F,"sul canale 68, di continuo.",V,1.6.2-17,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
897,,La Brezza soffia dal mare perchè:,la terraferma si scalda più in fretta del mare.,V,sia la terraferma che il mare raggiungono la stessa temperatura ed il vento spira dal mare.,F,la terraferma si raffredda più in fretta del mare.,F,1.6.1-24,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
898,,Il Meteomar emesso alle ore 12:00 UTC di oggi:,è valido sino alle ore 18:00 UTC di oggi.,F,è valido sino alle ore 12:00 UTC di domani.,F,è valido sino alle ore 00:00 UTC di domani.,V,1.6.2-18,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
899,,Il vento è originato da?,instabilità e umidità dell'aria.,F,differenti valori di temperatura e pressione dell'aria.,V,gradiente termico verticale e umidità dell'aria.,F,1.6.1-25,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
900,,"La sezione ""Tendenza"" nel Meteomar indica:",una possibile burrasca.,F,la direzione di provenienza e la forza del vento per le prossime 96 ore.,F,la tendenza dello stato del mare nelle 12 ore successive al periodo di validità della “Previsione”.,V,1.6.2-19,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
901,,Le brezze hanno origine:,se ci sono differenze di riscaldamento tra mare e terraferma.,V,nei caldi pomeriggi estivi.,F,nelle calde serate estive.,F,1.6.1-26,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
902,,La Brezza spira da terra di notte perché la terraferma:,e il mare raggiungono la stessa temperatura.,F,si raffredda più in fretta del mare.,V,si scalda più in fretta del mare.,F,1.6.1-27,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
903,,Il Meteomar è trasmesso:,dal Ministero dello Sviluppo Economico (ex Comunicazioni).,F,dalle Stazioni Radio costiere.,V,dalle Capitanerie di porto.,F,1.6.2-20,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
904,,Da Est spira:,Levante.,V,Ponente.,F,Tramontana.,F,1.6.3-11,BASE,METEOROLOGIA,Venti
905,,Gli Avvisi di burrasca (Gale Warnings):,sono diffusi via VHF con precedenza assoluta su tutti gli altri messaggi di natura meteorologica.,V,sono diffusi via VHF in coda con gli altri messaggi di natura meteorologica.,F,forniscono informazioni su venti forza 12.,F,1.6.2-21,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
906,,La brezza:,di notte risente della condizione in base alla quale il mare si raffredda più in fretta della terraferma.,F,di giorno soffia dal mare verso la terraferma.,V,è un indicatore di condizioni generali di cattivo tempo.,F,1.6.1-28,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
907,,La brezza di terra spira:,ininterrottamente per 24 ore al giorno.,F,di notte.,V,di giorno.,F,1.6.1-29,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
908,,"Con corrente e vento, l'un l'altro contro in direzione opposta, l'onda è:",ripida.,V,alta.,F,incomprensibile.,F,1.6.1-30,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
909,,La brezza di terra è innescata:,dal rapido raffreddamento della terraferma rispetto al mare.,V,dal raffreddamento del mare.,F,dal riscaldamento della terraferma da parte del sole.,F,1.6.1-31,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
910,,La brezza:,è più consistente nelle giornate di pioggia.,F,di notte spira dalla terraferma verso il mare.,V,di giorno è dovuta alla pressione più alta sulla terraferma che sul mare.,F,1.6.1-32,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
911,,"La sezione ""Tendenza” circa il vento indicato nel Meteomar:",fornisce la tendenza del vento nelle 12 ore successive al periodo di validità del Meteomar medesimo.,V,fornisce la tendenza del vento nelle 24 ore successive al periodo di validità del Meteomar medesimo.,F,fornisce previsioni relative alle 48 ore successive al periodo di validità del Meteomar medesimo.,F,1.6.2-22,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
912,,La direzione di provenienza:,del Grecale è da E.,F,della tramontana è tra il II° e il III° quadrante.,F,del maestrale è da NW.,V,1.6.3-12,BASE,METEOROLOGIA,Venti
913,,Da quale direzione proviene il vento di Libeccio?,Nord-Ovest.,F,Sud-Ovest.,V,Sud-Est,F,1.6.3-13,BASE,METEOROLOGIA,Venti
914,,La brezza:,di notte soffia dal mare verso la terra.,F,è un indicatore di condizioni generali di cattivo tempo.,F,di notte è ragionevolmente dovuta al più rapido raffreddamento della terraferma rispetto al mare.,V,1.6.1-33,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
915,,Il vento che viene da 270 gradi si chiama:,Scirocco.,F,Ponente.,V,Levante.,F,1.6.3-14,BASE,METEOROLOGIA,Venti
916,,Quale affermazione è corretta tra le seguenti:,con il barometro misuro il valore della tendenza barografica istantanea.,F,la pressione dell'aria è misurata con il barometro.,V,"generalmente, se il tempo peggiora la pressione aumenta.",F,1.6.1-34,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
917,,Ostro e Mezzogiorno:,sono lo stesso vento.,V,non sono venti.,F,non sono lo stesso vento.,F,1.6.3-15,BASE,METEOROLOGIA,Venti
918,,Quale affermazione tra le seguenti è corretta:,il barometro misura la temperatura dell’aria.,F,il barometro misura la pressione dell’aria.,V,in genere se il tempo peggiora l'umidità diminuisce.,F,1.6.1-35,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
919,,Individuare la corretta direzione di provenienza:,la Tramontana spira da N.,V,il Libeccio spira da 135 gradi.,F,l'Ostro spira da NW.,F,1.6.3-16,BASE,METEOROLOGIA,Venti
920,,Da quale direzione proviene il vento di Libeccio?,Nord-Ovest.,F,Sud-Ovest.,V,Sud-Est.,F,1.6.3-17,BASE,METEOROLOGIA,Venti
921,,Individuare l'affermazione corretta:,l'Ostro spira da 180 gradi.,V,lo Scirocco spira da 225 gradi.,F,il Levante spira da 135 gradi.,F,1.6.3-17,BASE,METEOROLOGIA,Venti
922,,Riguardo al bollettino meteomar:,la trasmissione avviene tramite le Capitanerie di porto.,F,orari e canali di servizio sono riportati sulla pubblicazione Radioservizi per la navigazione edita dall'I.I.M.M.,V,orari e canali di servizio sono riportati sulla pubblicazione Radioservizi per la navigazione edita dall'A.M.,F,1.6.2-23,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
923,,L’umidità relativa si misura con:,barografo.,F,barometro.,F,igrometro.,V,1.6.1-36,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
924,,La formazione delle brezze è innescata dalla diversa:,umidità tra due zone.,F,pressione atmosferica tra due zone.,F,temperatura tra due zone.,V,1.6.1-37,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
925,,"L’aria, se calda, è:",più leggera di quella fredda.,V,più pesante di quella fredda.,F,data dai venti che soffiano da E e NE.,F,1.6.1-38,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
926,,La pressione atmosferica viene considerata:,"normale, se uguale a 1003,2 hPa; alta se superiore e bassa se inferiore al suddetto valore.",F,"normale, se uguale a 1023,2 hPa; alta se superiore e bassa se inferiore al suddetto valore.",F,"normale, se uguale a 1013,2 hPa; alta se superiore e bassa se inferiore al suddetto valore.",V,1.6.1-38,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
927,,Quale affermazione tra le seguenti è corretta:,lo stato del mare è misurato con la scala di Dorrestein.,F,se la pressione diminuisce il tempo volgerà al bello.,F,"generalmente, l'orizzonte chiaro, con calma di vento, preannuncia bel tempo.",V,1.6.1-39,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
928,,Quali sono i valori minimi e massimi delle scale del vento e del mare?,"vento da 0 a 14, mare da 0 a 10.",F,"vento da 0 a 12, mare da 0 a 9.",V,"vento da 1 a 10, mare da 1 a 9.",F,1.6.1-40,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
929,,Quale affermazione è corretta tra le seguenti:,il vento di levante proviene da oriente.,V,il vento di libeccio è un vento cardinale.,F,il vento di ponente spira verso ovest.,F,1.6.3-18,BASE,METEOROLOGIA,Venti
930,,Quale affermazione è corretta tra le seguenti:,il levante spira tra N e NNW.,F,il libeccio spira tra S e SSE.,F,lo scirocco spira da SE.,V,1.6.3-19,BASE,METEOROLOGIA,Venti
931,,"I venti che spirano dai 4 punti intercardinali (NE, SE, SW, NW) prendono il nome dalla regione:",di provenienza.,V,dove si manifestano più frequentemente (es.libeccio in Libia).,F,verso la quale si dirigono.,F,1.6.3-20,BASE,METEOROLOGIA,Venti
932,,"Al passaggio di un fronte freddo, la pressione:",sale bruscamente.,V,"diminuisce dietro, alle spalle del fronte, e dopo di nuovo aumenta repentinamente.",F,diminuisce.,F,1.6.1-41,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
933,,"Una ""Burrasca"":",corrisponde a un termine descrittivo della Forza del vento.,V,corrisponde a uno stato del mare abbastanza agitato.,F,corrisponde a un gergo marinaro usato per esprimere un tempo perturbato in zone lontane.,F,1.6.2-24,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
934,,"I ""Cirri"" sono:",le nubi più alte che di norma indicano bel tempo se la pressione è stazionaria o in salita.,V,le nubi di altezza media tra 2000 e 6000 m.,F,le nubi da cui è possibile prevedere l'arrivo brusco di un fronte freddo e le piogge entro 6 ore.,F,1.6.2-25,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
935,,La violenza di un temporale è in funzione:,dello sviluppo verticale della nube.,V,dell'escursione termica.,F,della stagione.,F,1.6.2-26,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
936,,Il fronte:,è quella linea di separazione sussistente tra due correnti di stessa intensità ma con verso opposto.,F,è la linea che separa due strati di cumuli-nembi e nembo-strati.,F,è una linea che esprime la superficie di contatto o di discontinuità che separa due masse d'aria.,V,1.6.2-27,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
937,,"I ""Cumuli"" sono:",nubi grigie stratiformi.,F,le nubi più alte di aspetto chiaro e filamentoso.,F,nubi a sviluppo verticale.,V,1.6.2-28,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
938,,"Il ""fetch minimo"" è:","il tratto di mare, privo di ostacoli, sul quale soffia un vento per un certo periodo, oltre il quale tratto di mare le onde raggiungeranno la massima altezza per quel dato vento.",V,una condizione del mare caratterizzata da onde corte e ripide.,F,un vento caldo e secco discendente da una catena montuosa.,F,1.6.2-29,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
939,,In genere la pressione aumenta se:,spirano venti freddi dal 4° e 1° quadrante.,V,spirano venti freddi dal 2° e 3° quadrante.,F,nessuna delle due affermazioni suddette è corretta.,F,1.6.2-30,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
940,,Sono nuvole temporalesche:,gli altocumuli,F,i cumulonembi.,V,i nembostrati.,F,1.6.2-31,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
941,,"Generalmente, al passaggio di un fronte freddo:","la pressione diminuisce in modo irregolare, inoltre la temperatura e l'umidità sono in aumento.",F,"la visibilità peggiora, vi sono nubi di tipo altostratiforme e nebbie.",F,"la pressione aumenta bruscamente, il vento rinforza con raffiche.",V,1.6.2-32,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
942,,"Generalmente, con aria instabile si hanno precipitazioni:",scarse.,F,di forte intensità e a intermittenza.,V,poco intense.,F,1.6.2-33,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
943,,Come si definisce una corrente di marea?,"lo spostamento orizzontale delle acque marine generato dalla marea, non collegato al moto ondoso",V,lo spostamento verticale delle acque marine generato dalla marea.,F,lo spostamento obliquo delle acque marine generato dalla marea.,F,1.6.1.97,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
944,,Una corrente marina è:,un movimento di masse d'acqua non derivante dal moto ondoso o dalla marea.,V,un movimento di masse d'acqua generato dal moto ondoso o dalla marea.,F,un movimento di masse d'acqua generato dall'azione combinata delle maree e del moto ondoso.,F,1.6.1-42,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
945,,"In genere, con aria instabile la visibilità è:","buona, a volte ottima.",V,scarsa.,F,nessuna delle due affermazioni suddette è corretta.,F,1.6.2-34,BASE,METEOROLOGIA,Bollettini meteorologici e  previsioni locali
946,,"Riguardo alla corrente marina, è possibile affermare che:","si verifica in acque relativamente basse e negli stretti, e relative adiacenze, colleganti due bacini.",F,l'intero ciclo copre un periodo di alcune ore.,F,si verifica in acque profonde e in mari aperti e che risente del moto di rotazione terrestre.,V,1.6.1-43,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
947,,La corrente di marea:,"si verifica in acque relativamente basse e negli stretti, e relative adiacenze, colleganti due bacini.",V,è un fenomeno stagionale.,F,la massa d'acqua interessata ha una sua densità e temperatura diversa dalla massa d'acqua circostante.,F,1.6.1-44,BASE,METEOROLOGIA,Elementi di meteorologia e strumenti
